Trial	Beat	Sentence	Sentence_extraction	Congruency	Probe	Probe_clause	Response	Accuracy	RT
15	binary_beat	['The', 'dean', 'that', 'the', 'boy', 'called', 'had a', 'voice', 'full of', 'anger']	object extracted	congruent	The dean called the boy?	relative_clause	n	1	6.183498737053014
16	ternary_beat	['The', 'boat', 'that the', 'yacht', 'chased', 'made', 'a', 'turn', 'at', 'the', 'boathouse']	object extracted	congruent	The boat chased the yacht?	relative_clause	y	0	1.403457195032388
17	binary_beat	['The', 'niece', 'that kissed', 'the', 'aunt', 'sang', 'a', 'song', 'for the', 'guests']	subject extracted	incongruent	The aunt sang a song?	main_clause	y	0	2.954644594923593
18	ternary_beat	['The', 'desk', 'that', 'the', 'bed', 'scratched', 'was too', 'old', 'to', 'be', 'moved']	object extracted	incongruent	The bed scratched the desk?	relative_clause	y	1	4.113209014991298
19	binary_beat	['The', 'fox', 'that', 'the', 'wolf', 'chased', 'hurt its', 'paws', 'on the', 'way']	object extracted	congruent	The wolf chased the fox? 	relative_clause	n	0	3.5525508659193292
20	binary_beat	['The', 'car', 'that was', 'new', 'had', 'just', 'been', 'cleaned', 'by', 'the', 'old', 'lady']	other	congruent	The car was old?	other	y	0	5.55300309008453
21	binary_beat	['The', 'dad', 'that the', 'chef', 'knew', 'had', 'a', 'son', 'with a', 'limp']	object extracted	incongruent	The chef knew the dad?	relative_clause	y	1	2.463121511042118
22	binary_beat	['The', 'cat', 'chased the', 'bird', 'but', 'it', 'flew', 'away', 'into the', 'sunset']	other	congruent	The cat chased the bird?	other	y	1	1.1744335879338905
23	binary_beat	['The', 'rod', 'that', 'the', 'pipe', 'bent', 'had a', 'hole', 'in the', 'middle']	object extracted	congruent	The rod had a hole?	main_clause	y	1	2.40290897001978
24	binary_beat	['The', 'groom', 'that', 'the', 'aunt', 'charmed', 'raised a', 'toast', 'to the', 'parents']	object extracted	congruent	The groom raised a toast?	main_clause	y	1	2.6202571319881827
25	binary_beat	['The', 'tradie', 'that the', 'man', 'thanked', 'left', 'his', 'wallet', 'in the', 'car']	object extracted	incongruent	The man thanked the tradie?	relative_clause	n	0	9.178613140014932
26	binary_beat	['The', 'colour', 'of the', 'house', 'was', 'brighter', 'than the', 'men', 'who travelled', 'expected']	other	congruent	The men travelled?	other	y	1	11.245962065993808
27	binary_beat	['The', 'girl', 'on', 'the', 'school', 'trip', 'saw a', 'frog', 'and', 'later', 'she', 'saw', 'a', 'mouse']	other	congruent	The girl saw a mouse first?	other	n	1	3.1918445740593597
28	binary_beat	['The', 'friend', 'that teased', 'the', 'bride', 'told', 'a', 'joke', 'about the', 'past']	subject extracted	incongruent	The friend teased the bride?	relative_clause	y	1	3.675090077915229
29	binary_beat	['The', 'ring', 'that', 'was', 'sadly', 'lost', 'was', 'found', 'by the', 'fat', 'and', 'very', 'happy', 'priest']	other	congruent	The priest was sad?	other	n	1	2.325074660941027
30	ternary_beat	['The', 'clerk', 'that liked', 'the', 'boss', 'had', 'a', 'desk', 'by', 'the', 'window']	subject extracted	congruent	The clerk had a desk by the window?	main_clause	y	1	2.7951517119072378
31	ternary_beat	['The', 'priest', 'that the', 'cook', 'paid', 'signed', 'the', 'check', 'at', 'the', 'bank']	object extracted	congruent	The priest signed the check?	main_clause	y	1	1.8539403959875926
32	binary_beat	['The', 'cat', 'that', 'fought', 'the', 'dog', 'licked its', 'wounds', 'in the', 'corner']	subject extracted	congruent	The cat fought the dog?	relative_clause	y	1	2.875151281012222
33	binary_beat	['The', 'cup', 'was', 'made', 'from green', 'plastic', 'and was', 'filled', 'with', 'juice']	other	congruent	The cup was made from plastic?	other	y	1	1.4933658359805122
34	binary_beat	['The', 'dog', 'that', 'barked', 'is very', 'big', 'and very', 'friendly', 'but', 'doesn’t', 'like', 'cats']	other	congruent	The dog is very fluffy?	other	n	1	2.1901815690798685
35	binary_beat	['The', 'boss', 'was', 'happy', 'to', 'see', 'the', 'work', 'that', 'the', 'two', 'girls', 'had', 'done']	other	congruent	The girls were happy?	other	n	1	3.5995685850502923
36	binary_beat	['The', 'hat', 'that was', 'worn', 'by the', 'boy', 'with a', 'jacket', 'was too', 'small', 'for the', 'man']	other	congruent	The hat was too small?	other	y	1	2.3905228599905968
37	binary_beat	['The', 'guy', 'that', 'thanked', 'the', 'judge', 'left the', 'room', 'with a', 'smile']	subject extracted	congruent	The guy left the room?	main_clause	y	1	1.6030294990632683
38	binary_beat	['The', 'girl', 'kicked the', 'ball', 'into the', 'window', 'but it', 'did', 'not', 'break']	other	congruent	The girl broke the window?	other	n	1	1.9548739159945399
39	ternary_beat	['The', 'cook', 'that hugged', 'the', 'maid', 'had', 'a', 'tear', 'on', 'her', 'cheek']	subject extracted	congruent	The maid hugged the cook? 	relative_clause	y	0	4.1305124290520325
40	ternary_beat	['The', 'king', 'that', 'pleased', 'the', 'guest', 'poured the', 'wine', 'from', 'the', 'jug']	subject extracted	incongruent	The king poured the wine?	main_clause	y	1	2.3788546699797735
41	binary_beat	['The', 'scout', 'that punched', 'the', 'coach', 'had', 'a', 'fight', 'with a', 'manager']	subject extracted	incongruent	The scout had a fight?	main_clause	y	1	1.4196453000186011
42	ternary_beat	['The', 'priest', 'that', 'the', 'nun', 'thanked', 'left the', 'church', 'in', 'a', 'hurry']	object extracted	incongruent	The priest left the church?	main_clause	y	1	2.3869943940080702
43	binary_beat	['The', 'concert', 'started', 'later', 'than', 'what', 'the', 'lady', 'told the', 'traveler']	other	congruent	The concert started later than the travellers expected?	other	y	1	3.514094131998718
44	binary_beat	['The', 'apples', 'that', 'the', 'couple', 'bought', 'at the', 'market', 'were', 'red']	other	congruent	The couple bought some apples?	other	y	1	2.2417012120131403
45	binary_beat	['The', 'boy', 'who', 'had', 'a', 'birthday', 'called', 'his', 'best', 'friend', 'for a', 'chat']	other	congruent	The friend called the boy?	other	n	1	4.177910579019226
46	ternary_beat	['The', 'nun', 'that the', 'monk', 'blessed', 'lit', 'a', 'candle', 'on', 'the', 'table']	object extracted	congruent	The monk blessed the nun?	relative_clause	n	0	5.181601866031997
47	ternary_beat	['The', 'thug', 'that saw', 'the', 'man', 'had', 'a', 'hat', 'on', 'his', 'head']	subject extracted	congruent	The thug had a hat on his head?	main_clause	y	1	1.5244089600164443
48	binary_beat	['The', 'thief', 'that the', 'guard', 'saw', 'had', 'a', 'gun', 'in his', 'holster']	object extracted	incongruent	The guard had a gun?	main_clause	n	1	3.2585925710154697
49	binary_beat	['The', 'maid', 'that', 'the', 'chef', 'loved', 'quit the', 'job', 'at the', 'house']	object extracted	congruent	The maid loved the chef?	relative_clause	y	0	4.151300229947083
50	binary_beat	['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']	other	congruent	The wine was fancy?	other	y	1	1.1258238279260695
51	binary_beat	['The', 'book', 'that the', 'lady', 'with a', 'tattoo', 'had', 'written', 'was her', 'best', 'book', 'yet']	other	congruent	The lady wrote a book?	other	y	1	1.1076105820247903
52	binary_beat	['The', 'truck', 'that the', 'car', 'bumped', 'had', 'a', 'man', 'at the', 'wheel']	object extracted	incongruent	The truck bumped the car?	relative_clause	y	0	1.5863513660151511
53	ternary_beat	['The', 'boy', 'that', 'the', 'girl', 'helped', 'got an', 'A', 'on', 'the', 'test']	object extracted	incongruent	The boy got an A?	main_clause	y	1	1.5041902379598469
54	ternary_beat	['The', 'bug', 'that', 'attacked', 'the', 'ant', 'was as', 'big', 'as', 'a', 'coin']	subject extracted	incongruent	The bug was as big as a coin?	main_clause	y	1	4.148834054009058
55	binary_beat	['The', 'fish', 'was', 'caught', 'by the', 'girl', 'on the', 'boat', 'on a', 'Friday']	other	congruent	The fish was caught by the girl?	other	y	1	1.41885483590886
56	binary_beat	['The', 'kid', 'that', 'followed', 'the', 'dad', 'had some', 'mud', 'on his', 'shoes']	subject extracted	congruent	The dad followed the kid?	relative_clause	y	0	1.3742455720202997
57	ternary_beat	['The', 'bloke', 'that', 'the', 'mum', 'helped', 'gave a', 'gift', 'to', 'say', 'thanks']	object extracted	incongruent	The mum gave a gift?	main_clause	y	0	1.7083736890926957
58	binary_beat	['The', 'whale', 'that bit', 'the', 'shark', 'won', 'the', 'fight', 'in the', 'end']	subject extracted	incongruent	The shark won the fight?	main_clause	n	1	3.060823907959275
59	ternary_beat	['The', 'sailor', 'that', 'pushed', 'the', 'banker', 'hurt his', 'foot', 'in', 'the', 'brawl']	subject extracted	incongruent	The sailor pushed the banker?	relative_clause	y	1	3.7956836170051247
60	binary_beat	['The', 'bike', 'that was', 'yellow', 'and', 'shiny', 'belonged', 'to', 'the', 'boy', 'with the', 'hat']	other	congruent	The bike was red?	other	n	1	1.2194086079252884
61	ternary_beat	['The', 'knight', 'that', 'helped', 'the', 'king', 'sent a', 'gift', 'from', 'his', 'castle']	subject extracted	incongruent	The king helped the knight?	relative_clause	n	1	7.6743825930170715
62	binary_beat	['The', 'fruit', 'that', 'the', 'cake', 'squashed', 'made a', 'mess', 'in the', 'bag']	object extracted	congruent	The cake made a mess?	main_clause	n	1	1.3042195149464533
63	binary_beat	['The', 'bum', 'that the', 'cop', 'scared', 'crossed', 'the', 'street', 'at the', 'light']	object extracted	incongruent	The bum scared the cop?	relative_clause	n	1	2.104302183026448
64	binary_beat	['The', 'man', 'was very', 'hungry', 'after the', 'meeting', 'so', 'had', 'lunch', 'early']	other	congruent	The boy was hungry?	other	n	1	3.162585197016597
65	binary_beat	['The', 'nurse', 'that blamed', 'the', 'coach', 'checked', 'the', 'file', 'of the', 'gymnast']	subject extracted	incongruent	The coach blamed the nurse?	relative_clause	n	1	7.707363649038598
66	binary_beat	['The', 'man', 'who was', 'short', 'gave his', 'wife', 'some red', 'candles', 'for her', 'birthday']	other	congruent	The man was short?	other	y	1	1.141295681009069
67	ternary_beat	['The', 'owl', 'that the', 'bat', 'scared', 'made', 'a', 'loop', 'in', 'the', 'air']	object extracted	congruent	The owl made a loop?	main_clause	y	1	1.0738792460178956
68	binary_beat	['The', 'girl', 'that', 'pushed', 'the', 'nerd', 'broke the', 'vase', 'with the', 'flowers']	subject extracted	congruent	The nerd broke the vase?	main_clause	n	1	1.342842280981131
69	binary_beat	['The', 'piano', 'was well', 'played', 'by', 'the', 'old', 'lady', 'but', 'it', 'was', 'not', 'in', 'tune']	other	congruent	The piano was badly played?	other	n	1	1.590891889994964
70	ternary_beat	['The', 'hat', 'that the', 'skirt', 'matched', 'had', 'a', 'bow', 'in', 'the', 'back']	object extracted	congruent	The skirt matched the hat?	relative_clause	y	1	3.3310120769310743
71	binary_beat	['The', 'guest', 'that the', 'host', 'kissed', 'brought', 'a', 'cake', 'to the', 'party']	object extracted	incongruent	The host kissed the guest?	relative_clause	n	0	3.4080946400063112
72	binary_beat	['The', 'job', 'that was', 'given', 'was', 'different', 'to', 'what', 'she', 'expected']	other	congruent	The job was as expected?	other	n	1	1.783895783009939
73	binary_beat	['The', 'girl', 'and the', 'boy', 'that', 'owned', 'the', 'horse', 'had', 'mud', 'on their', 'clothes']	other	congruent	The boy and girl own a horse?	other	y	1	1.9911302739055827
